# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
you 	又	c=18 d=0.180866 t=12432
you 	友	c=1 d=0.224249 t=12432
you 	右	c=4 d=1 t=10983
you 	有	c=108 d=1.14895 t=12432
you 	由	c=1 d=1 t=5372
you bing 	有病	c=0 d=0.1 t=2691
you bing me 	有病麼	c=1 d=1 t=2692
you bu shi 	又不是	c=4 d=0.247833 t=12432
you de 	有的	c=3 d=0.516126 t=12432
you de shi 	有的是	c=1 d=1 t=1255
you dian 	有點	c=3 d=1.02049 t=11538
you ge 	有個	c=2 d=1.00091 t=2906
you guan 	有關	c=2 d=1 t=10296
you hao 	友好	c=2 d=1 t=11588
you hua 	優化	c=3 d=1.00007 t=5219
you jian 	右鍵	c=1 d=1 t=12238
you keng 	有坑	c=1 d=1 t=4768
you neng 	又能	c=0 d=0.1 t=3884
you nv 	幼女	c=1 d=1 t=11879
you qing 	友情	c=1 d=1 t=7146
you ren 	有人	c=5 d=1.0136 t=10525
you sha 	有啥	c=4 d=0.392586 t=12432
you sha a 	有啥啊	c=1 d=1 t=11946
you shi 	有識	c=1 d=1 t=1575
you shi hou 	有時候	c=2 d=1 t=6039
you shuo 	又說	c=1 d=1 t=1477
you ti 	優題	c=1 d=0.090718 t=12432
you xi 	遊戲	c=18 d=1.97971 t=12432
you xi jiao 	遊戲叫	c=1 d=1 t=9660
you xian 	有限	c=2 d=1.00546 t=11219
you xiang 	郵箱	c=5 d=0.336216 t=12432
you xie 	有些	c=2 d=1.86502 t=1355
you yao 	又要	c=2 d=1 t=11883
you yi 	有一	c=1 d=1 t=4012
you yi yi 	有意義	c=1 d=1 t=5215
you yong ma 	有用嗎	c=2 d=1.76721 t=4255
you yu 	由於	c=1 d=1 t=9759
you yue 	優越	c=1 d=1 t=11457
yu 	域	c=1 d=1.09656 t=9616
yu 	宇	c=1 d=1 t=11800
yu 	於	c=2 d=1.74082 t=3714
yu 	與	c=4 d=1 t=11676
yu 	魚	c=2 d=1.94649 t=9125
yu ang 	宇昂	c=1 d=1 t=10768
yu ban 	魚板	c=1 d=1 t=9130
yu dao 	遇到	c=1 d=1 t=3633
yu fou 	與否	c=1 d=1 t=11726
yu ming 	域名	c=1 d=1 t=11302
yu nan 	魚男	c=1 d=1 t=7525
yu pan 	預判	c=1 d=1 t=11839
yu qi 	預期	c=1 d=1 t=5191
yu shi 	於是	c=1 d=1 t=2918
yu wen 	語文	c=2 d=1.94649 t=5027
yu yan 	語言	c=3 d=0.384812 t=12432
yu zhou 	宇宙	c=1 d=1 t=5781
yuan 	元	c=10 d=1.89587 t=11922
yuan 	員	c=1 d=0.0579842 t=12432
yuan 	源	c=1 d=1 t=5975
yuan 	遠	c=4 d=1.00358 t=2974
yuan ban 	原版	c=1 d=1 t=6898
yuan dai ma 	源代碼	c=1 d=1 t=5481
yuan di 	原地	c=2 d=1.97045 t=9180
yuan lai 	原來	c=4 d=1 t=12401
yuan lai shi 	原來是	c=1 d=0.0958472 t=12432
yuan li 	遠離	c=4 d=1 t=8726
yuan ma 	源碼	c=1 d=1 t=12126
yuan qi 	元氣	c=10 d=1.92536 t=12432
yuan shi 	原始	c=3 d=1.97045 t=12151
yuan tu 	原圖	c=1 d=1 t=11197
yuan yi 	願意	c=8 d=1.1437 t=10614
yuan yin 	原因	c=3 d=1.94649 t=10238
yuan zhuang 	原裝	c=1 d=0.697676 t=12432
yuan zuo zhe 	原作者	c=1 d=1 t=5378
yue 	月	c=4 d=1.18189 t=10020
yue 	越	c=2 d=1.19014 t=8232
yue du 	閱讀	c=1 d=1 t=3812
yue lai 	越來	c=1 d=1 t=8231
yue lai yue 	越來越	c=1 d=1 t=9587
yue lai yue duo 	越來越多	c=1 d=1 t=6015
yue qi 	樂器	c=1 d=1 t=4957
yue shu 	約束	c=1 d=1 t=11685
yue yu 	越獄	c=1 d=1 t=8753
yue zuo 	越做	c=1 d=1 t=7899
yun 	雲	c=2 d=1 t=12087
yun qi 	運氣	c=2 d=1.00004 t=7783
yun xing 	運行	c=1 d=1 t=6537
yun xu 	允許	c=2 d=1 t=10999
za 	咋	c=11 d=1.0886 t=12119
za ban 	咋辦	c=3 d=0.298197 t=12432
za gai 	咋改	c=1 d=1.07531 t=1709
za gai a 	咋改啊	c=1 d=1 t=1710
za gao 	咋搞	c=3 d=2.77856 t=7793
za gong 	咋攻	c=2 d=1.96079 t=4618
za hai 	咋還	c=1 d=1 t=2740
za jiu 	咋就	c=2 d=1 t=10727
za kai 	咋開	c=1 d=0.0432828 t=12432
za le 	咋了	c=7 d=1.60792 t=11035
za pao le 	咋跑了	c=1 d=1 t=10541
za si de 	咋死的	c=1 d=1 t=10439
za sui 	砸碎	c=1 d=1 t=9872
za tong ji 	咋統計	c=1 d=1 t=5155
za xie 	咋寫	c=1 d=1 t=5022
za zhong 	咋種	c=1 d=1 t=10099
za zhuang 	咋裝	c=1 d=1 t=3228
zai 	再	c=5 d=1.21439 t=10933
zai 	在	c=67 d=1.33912 t=12432
zai gei 	再給	c=1 d=1 t=4948
zai guo nei 	在國內	c=1 d=1 t=9986
zai guo qu 	再過去	c=1 d=1 t=11793
zai hu 	在乎	c=4 d=1.01859 t=10027
zai jian 	再見	c=2 d=1 t=11092
zai kan 	再看	c=1 d=1 t=7069
zai lai 	再來	c=2 d=1 t=10363
zai man 	再慢	c=1 d=1 t=5284
zai me 	在麼	c=25 d=1.63763 t=12432
zai na 	在哪	c=4 d=0.15259 t=12432
zai pai 	在拍	c=1 d=0.301194 t=12432
zai ren he 	在任何	c=1 d=0.108067 t=12432
zai shuo 	再說	c=5 d=1.00684 t=10152
zai tan 	再談	c=1 d=1 t=10153
zai ti 	載體	c=1 d=1 t=8187
zai wang luo shang 	在網絡上	c=1 d=0.102797 t=12432
zai yi 	在意	c=6 d=0.387471 t=12432
zai yi dui 	在一堆	c=1 d=0.126186 t=12432
zai yi qi 	在一起	c=3 d=1 t=8273
zai yong 	在用	c=1 d=1 t=6786
zai zhe 	在這	c=1 d=1 t=4877
zai zhe li 	在這裏	c=1 d=1 t=1537
zai zuo 	在做	c=2 d=1.99501 t=4946
zan 	咱	c=3 d=1.00276 t=8364
zan ban 	咱班	c=1 d=1 t=6665
zan neng bu neng 	咱能不能	c=1 d=1 t=7644
zan shi 	暫時	c=1 d=1 t=4947
zan tong 	贊同	c=1 d=1 t=1673
zao 	早	c=2 d=0.0357931 t=12432
zao bu shi 	早不是	c=1 d=1 t=10802
zao can 	早餐	c=1 d=1 t=9189
zao dian 	早點	c=1 d=1 t=6859
zao gao 	糟糕	c=1 d=1 t=8812
zao jia 	早加	c=1 d=1 t=1942
zao jiu 	早就	c=1 d=1 t=10936
zao xia 	早下	c=0 d=0.1 t=5512
zao xia wan le 	早下完了	c=1 d=1 t=5513
ze 	則	c=1 d=1 t=7095
ze ren 	責任	c=1 d=1 t=11436
zei 	賊	c=4 d=1.25945 t=12432
zen me 	怎麼	c=17 d=0.0785885 t=12432
zen me ban 	怎麼辦	c=2 d=0.559898 t=12432
zen me kan 	怎麼看	c=1 d=1 t=8786
zen me la 	怎麼啦	c=1 d=1 t=4985
zen me shuo 	怎麼說	c=3 d=1 t=11636
zen me xue 	怎麼學	c=1 d=1 t=2220
zen yang 	怎樣	c=4 d=1 t=11218
zeng song 	贈送	c=1 d=1 t=7378
zha si 	炸死	c=0 d=0.1 t=7030
zha si le 	炸死了	c=1 d=1 t=7031
zhan 	站	c=7 d=1.02331 t=12432
zhan bi 	佔比	c=1 d=1 t=10175
zhan bu shang bian 	沾不上邊	c=1 d=1 t=8791
zhan shang 	站上	c=1 d=1 t=11858
zhan yong 	佔用	c=2 d=1 t=6513
zhan zheng 	戰爭	c=1 d=1 t=5768
zhang 	漲	c=1 d=1 t=1713
zhang hao 	帳號	c=6 d=0.433874 t=12432
zhang hui qu 	漲回去	c=1 d=1 t=9343
zhang jia 	漲價	c=0 d=0.1 t=6814
zhang lang 	蟑螂	c=1 d=1 t=5169
zhang wo 	掌握	c=2 d=1 t=11999
zhao 	找	c=8 d=0.900325 t=12432
zhao bu dao 	找不到	c=1 d=1 t=11284
zhao dao 	找到	c=2 d=1 t=7622
zhao dao le 	找到了	c=2 d=1.00006 t=6315
zhao ji 	着急	c=1 d=0.018043 t=12432
zhao le 	着了	c=1 d=1 t=12068
zhao ni 	找你	c=1 d=1 t=10400
zhao pian 	照片	c=2 d=0.416862 t=12432
zhao wo 	找我	c=3 d=0.150318 t=12432
zhao zhao 	找找	c=1 d=1 t=10974
zhe 	着	c=8 d=0.906197 t=12432
zhe 	者	c=1 d=1 t=9655
zhe 	這	c=104 d=3.52753 t=12432
zhe bian 	這邊	c=1 d=1 t=10708
zhe bo 	這波	c=1 d=1 t=8354
zhe bu 	這部	c=0 d=0.1 t=3575
zhe bu bi 	這不比	c=1 d=1 t=4304
zhe bu fan 	這部番	c=1 d=1 t=3576
zhe bu shi 	這不是	c=3 d=1.18235 t=5189
zhe bu shi sha 	這不是啥	c=1 d=1 t=4713
zhe cai 	這才	c=1 d=0.23457 t=12432
zhe ci 	這次	c=1 d=0.767206 t=12432
zhe dao shi 	這倒是	c=1 d=1 t=5303
zhe die 	摺疊	c=1 d=1 t=7526
zhe dou 	這都	c=1 d=1.04653 t=2050
zhe fan 	這番	c=2 d=1.00887 t=4404
zhe ge 	這個	c=48 d=2.07222 t=12432
zhe ge le 	這個了	c=1 d=0.0902655 t=12432
zhe ge ma 	這個嘛	c=1 d=1 t=3908
zhe ge shi 	這個是	c=1 d=1 t=6115
zhe he 	這和	c=2 d=1 t=8467
zhe ji ge 	這幾個	c=1 d=1 t=9677
zhe ji nian 	這幾年	c=1 d=1 t=9291
zhe ji tian 	這幾天	c=1 d=1 t=6089
zhe jian shi 	這件事	c=1 d=0.214381 t=12432
zhe jiu 	這就	c=7 d=0.421052 t=12432
zhe jiu he 	這就和	c=1 d=0.416862 t=12432
zhe ju 	這句	c=2 d=1.79057 t=8626
zhe li 	這裏	c=6 d=0.472117 t=12432
zhe liang 	這兩	c=3 d=1.01186 t=4525
zhe liang ge 	這兩個	c=1 d=1 t=1665
zhe me 	這麼	c=11 d=0.423204 t=12432
zhe me ge 	這麼個	c=1 d=1 t=4301
zhe mei you 	這沒有	c=1 d=1 t=10610
zhe ne 	着呢	c=1 d=0.0203434 t=12432
zhe qun 	這羣	c=1 d=0.612626 t=12432
zhe ren 	這人	c=1 d=1 t=11412
zhe shi 	這是	c=20 d=1.6193 t=12432
zhe shi ge 	這是個	c=2 d=0.0155297 t=12432
zhe shi sha 	這是啥	c=1 d=1 t=6100
zhe shuo 	這說	c=1 d=1 t=4840
zhe teng 	折騰	c=2 d=0.0536647 t=12432
zhe wan yi 	這玩意	c=4 d=1.00182 t=8106
zhe xie 	這些	c=6 d=0.0379083 t=12432
zhe yang 	這樣	c=31 d=0.144611 t=12432
zhe yang ba 	這樣吧	c=1 d=1 t=8856
zhe yang shuo 	這樣說	c=1 d=1 t=10203
zhe yao 	這要	c=1 d=1 t=11508
zhe ye 	這也	c=2 d=0.207008 t=12432
zhe ye suan 	這也算	c=1 d=1 t=7048
zhe yi wei zhe 	這意味着	c=1 d=1 t=6737
zhe you 	這有	c=2 d=1.0599 t=3333
zhe zhi shi 	這只是	c=1 d=1 t=2448
zhe zhong 	折中	c=1 d=1 t=11542
zhe zhong 	這種	c=9 d=1.00032 t=12016
zhei 	這	c=1 d=1 t=12089
zhen 	真	c=8 d=1.96079 t=12111
zhen 	針	c=1 d=1 t=10017
zhen ai 	珍愛	c=1 d=1 t=8663
zhen ai 	真愛	c=1 d=1 t=3635
zhen de 	真的	c=26 d=0.308819 t=12432
zhen de di 	真的低	c=1 d=0.0167392 t=12432
zhen de ma 	真的嗎	c=1 d=1 t=8246
zhen de man 	真的慢	c=1 d=1 t=5926
zhen de qiang 	真的強	c=1 d=1 t=1260
zhen de shi 	真的是	c=3 d=1.23693 t=12348
zhen de zai 	真的在	c=1 d=1 t=6741
zhen jing 	震驚	c=1 d=1 t=10761
zhen lan 	真爛	c=1 d=1 t=6905
zhen li 	真理	c=3 d=1.98046 t=10273
zhen mei 	真沒	c=1 d=1 t=5710
zhen shi 	真是	c=2 d=1.00089 t=3815
zhen zheng 	真正	c=4 d=0.241714 t=12432
zheng 	正	c=8 d=5.31325 t=11876
zheng da 	正大	c=1 d=1 t=5501
zheng dou 	爭鬥	c=1 d=1 t=2928
zheng duo 	爭奪	c=1 d=1 t=6883
zheng ge 	整個	c=1 d=1.00072 t=7494
zheng jiu 	拯救	c=3 d=1 t=9468
zheng ju 	證據	c=1 d=1 t=10281
zheng lun 	爭論	c=2 d=1.99501 t=1587
zheng ming 	證明	c=2 d=1.00009 t=12135
zheng qi 	蒸汽	c=1 d=1 t=12297
zheng que 	正確	c=6 d=1.00079 t=11725
zheng tai 	正太	c=27 d=7.7106 t=12374
zheng zhi 	政治	c=1 d=1 t=4782
zhi 	只	c=3 d=0.367879 t=12432
zhi 	指	c=2 d=1 t=7836
zhi 	支	c=3 d=1 t=8160
zhi 	知	c=1 d=1 t=10331
zhi 	職	c=0 d=0.1 t=5427
zhi 	至	c=2 d=1 t=9056
zhi ai 	致癌	c=1 d=1 t=6083
zhi bo 	直播	c=4 d=1.03782 t=12418
zhi bu guo 	只不過	c=1 d=1 t=7181
zhi chi 	支持	c=5 d=1.02482 t=11585
zhi chu 	指出	c=2 d=1.956 t=8613
zhi dao 	知道	c=25 d=1.2061 t=11961
zhi dao de 	知道的	c=1 d=1 t=6420
zhi de 	值得	c=0 d=0.1 t=9766
zhi de shi 	指的是	c=2 d=1 t=9853
zhi du 	制度	c=1 d=0.991366 t=4868
zhi fu 	支付	c=0 d=0.1 t=3157
zhi fu bao 	支付寶	c=3 d=0.532592 t=12432
zhi fu fen 	支付分	c=1 d=1 t=3158
zhi hou 	之後	c=2 d=0.0298969 t=12432
zhi hu 	直呼	c=1 d=1 t=8358
zhi hu 	知乎	c=7 d=1.86509 t=12219
zhi hui 	只會	c=4 d=1.00914 t=10112
zhi hui xing 	智慧型	c=2 d=0.167797 t=12432
zhi jie 	直接	c=24 d=0.427635 t=12432
zhi jin 	至今	c=1 d=1 t=2917
zhi kan 	只看	c=1 d=1 t=3178
zhi lei 	之類	c=1 d=1 t=11589
zhi liao 	治療	c=3 d=1.00116 t=11357
zhi men 	之門	c=1 d=1 t=3424
zhi neng 	只能	c=7 d=0.301194 t=12432
zhi neng shuo 	只能說	c=1 d=1 t=1642
zhi neng suan 	只能算	c=1 d=1 t=1509
zhi qian 	之前	c=2 d=1.98511 t=3418
zhi shang 	智商	c=1 d=1 t=5778
zhi shi 	只是	c=37 d=1.1689 t=12432
zhi shi 	芝士	c=1 d=1 t=9194
zhi shi deng 	指示燈	c=1 d=1 t=6183
zhi shi ge 	只是個	c=1 d=1 t=2477
zhi shi shuo 	只是說	c=1 d=1 t=10680
zhi shi wei le 	只是爲了	c=1 d=1 t=5402
zhi shuang 	直爽	c=1 d=1 t=4406
zhi shuo 	只說	c=2 d=1.01278 t=12281
zhi wang 	指望	c=0 d=0.1 t=6020
zhi wu 	植物	c=3 d=1 t=8421
zhi xia 	之下	c=3 d=1.94202 t=7089
zhi xiang 	只想	c=0 d=0.1 t=7095
zhi xiang 	指向	c=1 d=1 t=8474
zhi xiang rang 	只想讓	c=1 d=1 t=7096
zhi xing li 	執行力	c=1 d=1 t=5275
zhi yao 	只要	c=3 d=1.04372 t=8295
zhi yao shi 	只要是	c=1 d=1 t=4964
zhi you 	只有	c=8 d=0.527292 t=12432
zhi zhang 	智障	c=7 d=0.0188016 t=12432
zhi zhang de 	智障的	c=1 d=0.0261214 t=12432
zhi zhang me 	智障麼	c=1 d=0.162838 t=12432
zhi zhong 	之中	c=2 d=0.946485 t=12432
zhi zhu 	蜘蛛	c=1 d=1 t=10056
zhi zui 	之最	c=1 d=1 t=2593
zhi zuo 	製作	c=4 d=3.58741 t=7277
zhi zuo zhe 	製作者	c=1 d=1 t=1289
zhong 	中	c=8 d=0.127454 t=12432
zhong 	種	c=1 d=1 t=9580
zhong 	衆	c=1 d=1.00001 t=4837
zhong feng 	中風	c=1 d=1 t=10109
zhong guo 	中國	c=10 d=0.511714 t=12432
zhong kao 	中考	c=2 d=0.973517 t=12432
zhong lei 	種類	c=1 d=1 t=11361
zhong li 	重力	c=1 d=1 t=10852
zhong shen 	終身	c=1 d=0.810584 t=12432
zhong shu 	中樞	c=1 d=1 t=10562
zhong suo 	衆所	c=3 d=1.00212 t=12376
zhong wen 	中文	c=11 d=2.00193 t=11080
zhong wen de 	中文的	c=1 d=1 t=2211
zhong wu 	中午	c=1 d=0.514274 t=12432
zhong xin 	中心	c=1 d=1 t=9756
zhong xin 	重心	c=2 d=0.533072 t=12432
zhong yao 	重要	c=2 d=1 t=7179
zhong yao me 	重要麼	c=1 d=1 t=2259
zhong yu 	終於	c=3 d=1.06822 t=7560
zhong zhi 	種植	c=3 d=2.96536 t=10102
zhong zi 	種子	c=1 d=1 t=9465
zhong zu 	種族	c=1 d=1 t=9957
zhou 	周	c=3 d=1.27117 t=9251
zhou yi 	週一	c=1 d=1 t=3258
zhou zhe 	皺着	c=1 d=1 t=10065
zhou zhi 	周知	c=3 d=1.00212 t=12377
zhu 	主	c=7 d=0.625002 t=12432
zhu 	朱	c=1 d=1 t=8862
zhu ban 	主板	c=4 d=1 t=7967
zhu ce 	註冊	c=5 d=1.00256 t=12287
zhu ce ji 	註冊機	c=1 d=1 t=3177
zhu ce le ma 	註冊了嗎	c=2 d=1.8825 t=6149
zhu cheng 	著稱	c=1 d=1.0001 t=8783
zhu cheng de 	著稱的	c=1 d=1 t=7405
zhu guan 	主觀	c=1 d=1 t=7213
zhu ji 	主機	c=2 d=1.00075 t=9369
zhu jia 	朱家	c=0 d=0.1 t=11934
zhu jia hao 	朱家豪	c=1 d=1 t=11935
zhu jie mian 	主界面	c=1 d=1 t=4165
zhu liu 	主流	c=2 d=1 t=8739
zhu ru 	諸如	c=1 d=1 t=11583
zhu shou 	助手	c=1 d=0.212711 t=12432
zhu su 	住宿	c=0 d=0.1 t=8400
zhu ti 	主題	c=3 d=0.427415 t=12432
zhu yao 	主要	c=7 d=1.00001 t=11905
zhu yao shi 	主要是	c=8 d=0.0488012 t=12432
zhu yi 	主義	c=3 d=1.02117 t=12153
zhu yu 	助於	c=1 d=1 t=10859
zhuan 	磚	c=1 d=1 t=4053
zhuan 	轉	c=2 d=1 t=7430
zhuan bian 	轉變	c=1 d=1 t=2147
zhuan dao 	賺到	c=1 d=1 t=5373
zhuan men 	專門	c=1 d=1 t=7628
zhuan qian 	賺錢	c=3 d=0.991928 t=12432
zhuan sheng 	轉生	c=7 d=1.13882 t=12432
zhuan shou 	轉手	c=1 d=1 t=9881
zhuan ye 	專業	c=1 d=0.189191 t=12432
zhuan zhan 	轉戰	c=1 d=1 t=6978
zhuan zhuan 	轉轉	c=2 d=1.84366 t=3076
zhuang 	裝	c=1 d=1 t=2824
zhuang shang 	裝上	c=1 d=1 t=5090
zhuang tai 	狀態	c=2 d=0.45612 t=12432
zhun que 	準確	c=3 d=1.01278 t=9160
zhuo mian 	桌面	c=4 d=1 t=12226
zhuo qing 	酌情	c=1 d=1 t=7215
zhuo zi 	桌子	c=1 d=1 t=2080
zi 	子	c=7 d=1.00153 t=11034
zi 	字	c=6 d=0.907489 t=12432
zi 	自	c=2 d=0.45612 t=12432
zi ben 	資本	c=3 d=1.56836 t=10425
zi ben jia 	資本家	c=1 d=1 t=8556
zi bi 	自閉	c=1 d=1 t=1938
zi cai 	自裁	c=1 d=1 t=11352
zi cong 	自從	c=2 d=1 t=10504
zi dan 	子彈	c=1 d=1 t=3342
zi dong 	自動	c=2 d=0.293758 t=12432
zi ji 	自己	c=25 d=0.996563 t=12432
zi ji de 	自己的	c=1 d=0.1 t=11494
zi ji de cuo 	自己的錯	c=1 d=1 t=11495
zi ji na 	自己那	c=1 d=1 t=5838
zi ji zuo 	自己做	c=1 d=1 t=4639
zi jie 	字節	c=1 d=1 t=6975
zi jin 	資金	c=1 d=0.071719 t=12432
zi jue 	自覺	c=1 d=1 t=8078
zi kong li 	自控力	c=1 d=1 t=5270
zi liao 	資料	c=1 d=1 t=1548
zi ran 	自然	c=2 d=0.276651 t=12432
zi ran jie 	自然界	c=1 d=1 t=10735
zi sha 	自殺	c=2 d=1 t=8449
zi shen 	自身	c=0 d=0.1 t=3658
zi shen de 	自身的	c=1 d=1 t=3659
zi shi 	姿勢	c=1 d=1 t=9674
zi ti 	字體	c=1 d=1 t=2010
zi wei 	自慰	c=7 d=1.00002 t=12077
zi wo 	自我	c=1 d=1 t=6406
zi xing 	自行	c=1 d=1 t=11333
zi you 	自由	c=2 d=1.00179 t=6335
zi yuan 	自願	c=0 d=0.1 t=1338
zi yuan 	資源	c=1 d=1 t=7611
zi yuan de 	自願的	c=1 d=1 t=1339
zi zai 	自載	c=1 d=1 t=3725
zong 	總	c=0 d=0.1 t=1949
zong bi 	總比	c=1 d=1 t=6394
zong bu neng 	總不能	c=3 d=1.11572 t=11369
zong de 	總的	c=1 d=1 t=11974
zong he 	綜合	c=5 d=1.99253 t=4724
zong jue 	總覺	c=1 d=1 t=7288
zong jue de 	總覺的	c=1 d=1 t=3668
zong neng 	總能	c=1 d=1 t=7740
zong shi 	總是	c=6 d=1.00051 t=11658
zong su 	宗素	c=7 d=0.315603 t=12432
zong suan 	總算	c=1 d=1 t=7420
zong you 	總有	c=1 d=0.111917 t=12432
zong zhi 	總之	c=6 d=1.00265 t=7271
zou 	走	c=1 d=1 t=5811
zou dao 	走到	c=1 d=1 t=3665
zou jin 	走近	c=1 d=1 t=3677
zou le 	走了	c=2 d=0.0297478 t=12432
zu 	族	c=1 d=1 t=9378
zu 	租	c=1 d=1 t=5933
zu 	組	c=1 d=1 t=5987
zu zhuang 	組裝	c=1 d=1 t=7528
zuan ge dong 	鑽個洞	c=1 d=1 t=2801
zui 	嘴	c=1 d=1 t=10369
zui 	最	c=5 d=0.0321422 t=12432
zui 	罪	c=1 d=1 t=1650
zui da 	最大	c=2 d=1 t=11604
zui da de 	最大的	c=1 d=1 t=5123
zui duo 	最多	c=1 d=1 t=11049
zui hao 	最好	c=4 d=0.331211 t=12432
zui hou 	最後	c=8 d=1 t=10952
zui jin 	最近	c=2 d=1 t=12267
zui ka de 	最卡的	c=1 d=0.127324 t=6588
zui qi ma 	最起碼	c=7 d=0.652593 t=12432
zui wan 	最晚	c=1 d=1 t=6091
zui xi huan 	最喜歡	c=1 d=1 t=5409
zui xian 	最先	c=1 d=1 t=3803
zui xin 	最新	c=3 d=2.0138 t=7352
zui zhong yao de 	最重要的	c=0 d=0.1 t=7767
zui zhong yao de ba 	最重要的吧	c=1 d=1 t=7768
zun zhong 	尊重	c=1 d=1 t=10150
zuo 	做	c=17 d=0.218982 t=12432
zuo 	坐	c=1 d=0.70822 t=12432
zuo 	左	c=1 d=1 t=4911
zuo 	座	c=1 d=0.71177 t=12432
zuo bu liao 	做不了	c=2 d=1.00007 t=5214
zuo ce 	左側	c=1 d=1 t=6864
zuo da zuo qiang 	做大做強	c=1 d=0.0724398 t=12432
zuo de 	做的	c=7 d=0.300471 t=12432
zuo fa 	做法	c=1 d=1 t=1551
zuo ge 	做個	c=1 d=1 t=6550
zuo ge ren 	做個人	c=1 d=1 t=2768
zuo hao 	做好	c=1 d=0.202909 t=12432
zuo hao le 	做好了	c=1 d=1 t=4955
zuo le 	做了	c=3 d=0.0468877 t=12432
zuo meng 	做夢	c=1 d=1 t=1815
zuo pin 	作品	c=2 d=1.00002 t=5035
zuo qi 	做起	c=2 d=1.02237 t=8337
zuo sha 	做啥	c=3 d=1.00447 t=3976
zuo shang jiao 	左上角	c=1 d=0.733447 t=12432
zuo shi 	做事	c=2 d=0.729789 t=12432
zuo tian 	昨天	c=3 d=1.00209 t=6937
zuo wan 	做完	c=0 d=0.1 t=4918
zuo wan le 	做完了	c=2 d=1.85214 t=4951
zuo wen 	作文	c=3 d=1.96079 t=8210
zuo wen le 	作文了	c=1 d=1 t=5042
zuo ye 	作業	c=15 d=0.633236 t=12432
zuo yong 	作用	c=1 d=1 t=8208
zuo you 	左右	c=7 d=0.0685362 t=12432
zuo zai 	坐在	c=1 d=1 t=2076
zuo zhe 	作者	c=5 d=1.58686 t=8773
zuo zhe 	坐着	c=1 d=1 t=2129
